parm_i,parm_j,v
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp1,5.12511420614e-09
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp2,-1.22939297642e-10
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp3,-3.97571973986e-12
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp4,1.19272412787e-13
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp1,-3.42996444448e-23
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp2,-4.03195493982e-25
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp3,8.45965196636e-26
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp4,-1.73962835884e-27
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip1,-.0000205484552675
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip2,.0280288953175687
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip1,-8.22158885262e-20
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip2,2.27719638498e-16
c.indp1#c.indf1#c.FD_temp1,_cons,4.88723112487e-09
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp1,-1.22939297642e-10
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp2,1.17625215334e-11
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp3,-3.38640105446e-13
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp4,3.05293704845e-15
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp1,1.57388844420e-24
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp2,4.84539019900e-25
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp3,-3.24561021049e-26
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp4,5.12944963852e-28
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_precip1,-1.91902824122e-07
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_precip2,.0002244923096559
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_precip1,-2.72853561127e-20
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_precip2,2.32269538739e-17
c.indp1#c.indf1#c.FD_temp2,_cons,-1.93946218089e-10
c.indp1#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp1,-3.97571973986e-12
c.indp1#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp2,-3.38640105446e-13
c.indp1#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp3,2.84096149389e-14
c.indp1#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp4,-4.79552611293e-16
c.indp1#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp1,1.70063523477e-27
c.indp1#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp2,-2.55352324826e-26
c.indp1#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp3,1.56373165018e-27
c.indp1#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp4,-2.35882536523e-29
c.indp1#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_precip1,5.38750221640e-08
c.indp1#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_precip2,-.0000704189164492
c.indp1#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_precip1,1.55915435149e-21
c.indp1#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_precip2,-1.69183570246e-18
c.indp1#c.indf1#c.FD_temp3,_cons,-1.11435481908e-11
c.indp1#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_temp1,1.19272412787e-13
c.indp1#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_temp2,3.05293704845e-15
c.indp1#c.indf1#c.FD_temp4,c.indp1#c.indf1#c.FD_temp3,-4.79552611293e-16
