parm_i,parm_j,v
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp1,5.64022854119e-09
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp2,-1.54293563203e-10
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp3,-5.38696164004e-12
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp4,1.64574346566e-13
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp1,-6.03868398297e-25
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp2,-1.44541050832e-25
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp3,9.10835549747e-27
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp4,-1.44450384997e-28
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip1,5.90509170550e-10
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip2,-9.58688730510e-13
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip1,2.60955279850e-25
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip2,-2.23507134842e-28
c.indp1#c.indf1#c.FD_temp1,_cons,9.69421078922e-09
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp1,-1.54293563203e-10
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp2,1.70744493655e-11
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp3,-5.96008122326e-13
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp4,6.77463714462e-15
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp1,-3.05309415917e-25
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp2,5.96352267985e-26
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp3,-2.45216660501e-27
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp4,3.15423125717e-29
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_precip1,4.02058818858e-12
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_precip2,-7.98521552249e-15
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_precip1,-2.35639605051e-26
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_precip2,4.54886489066e-29
c.indp1#c.indf1#c.FD_temp2,_cons,-5.84217747532e-11
c.indp1#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp1,-5.38696164004e-12
c.indp1#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp2,-5.96008122326e-13
c.indp1#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp3,5.14369751429e-14
c.indp1#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp4,-8.91361394483e-16
c.indp1#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp1,1.67640002571e-26
c.indp1#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp2,-2.97069717165e-27
c.indp1#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp3,1.16677717584e-28
c.indp1#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_temp4,-1.45721248792e-30
c.indp1#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_precip1,-1.19939790066e-12
c.indp1#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_precip2,2.12893705030e-15
c.indp1#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_precip1,8.16928419076e-28
c.indp1#c.indf1#c.FD_temp3,c.indp2#c.indf1#c.FD_precip2,-2.12795960064e-30
c.indp1#c.indf1#c.FD_temp3,_cons,-2.36375085243e-11
