parm,beta
c.indp1#c.indf1#c.FD_temp1,-.0000345644983319
c.indp1#c.indf1#c.FD_temp2,1.61089292484e-06
c.indp1#c.indf1#c.FD_temp3,8.72691510953e-08
c.indp1#c.indf1#c.FD_temp4,-2.83638812859e-09
c.indp2#c.indf1#c.FD_temp1,-.0005127612240923
c.indp2#c.indf1#c.FD_temp2,-.0000197158590481
c.indp2#c.indf1#c.FD_temp3,1.98231455226e-06
c.indp2#c.indf1#c.FD_temp4,-3.19152272988e-08
c.indp1#c.indf1#c.FD_precip1,-.0000252046852694
c.indp1#c.indf1#c.FD_precip2,2.72018348346e-07
c.indp2#c.indf1#c.FD_precip1,-.0000800013282226
c.indp2#c.indf1#c.FD_precip2,-1.14301494710e-06
_cons,.0614760947504888
