parm,beta
c.indp1#c.indf1#c.FD_temp1,-.0000246339284865
c.indp1#c.indf1#c.FD_temp2,-8.08265503389e-07
c.indp1#c.indf1#c.FD_temp3,8.31728653060e-08
c.indp1#c.indf1#c.FD_temp4,-1.33780483417e-09
c.indp2#c.indf1#c.FD_temp1,-.0006935785250446
c.indp2#c.indf1#c.FD_temp2,1.53176431449e-06
c.indp2#c.indf1#c.FD_temp3,1.11797946310e-06
c.indp2#c.indf1#c.FD_temp4,-2.10761885693e-08
c.indp1#c.indf1#c.FD_precip1,-.0000172691052881
c.indp1#c.indf1#c.FD_precip2,5.08380917340e-09
c.indp2#c.indf1#c.FD_precip1,-.0000217236544589
c.indp2#c.indf1#c.FD_precip2,-4.09785034706e-08
_cons,.0573238987926745
