parm_i,parm_j,v
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp1,4.61243409665e-09
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp2,-9.58323039774e-11
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp3,-2.70744338910e-12
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp4,7.35417161209e-14
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp1,-4.74554816133e-23
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp2,3.98999960932e-24
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp3,-1.30054625162e-25
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp4,1.47698442459e-27
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip1,7.52896261178e-07
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip2,-.0043416414894685
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip1,-6.04419067132e-21
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip2,-7.51461015631e-19
c.indp1#c.indf1#c.FD_temp1,_cons,2.92624125234e-09
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp1,-9.58323039774e-11
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp2,9.69456802146e-12
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp3,-3.17463741216e-13
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp4,3.51302773937e-15
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp1,3.36053966394e-24
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp2,-2.48676763811e-25
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp3,7.59493101193e-27
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp4,-8.08676511566e-29
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_precip1,-7.58111973058e-08
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_precip2,.0000589044815433
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_precip1,2.55935632613e-21
c.indp1#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_precip2,-2.46066267272e-18
c.indp1#c.indf1#c.FD_temp2,_cons,-4.86252276816e-11
c.indp1#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp1,-2.70744338910e-12
c.indp1#c.indf1#c.FD_temp3,c.indp1#c.indf1#c.FD_temp2,-3.17463741216e-13
