parm,beta
c.indp1#c.indf1#c.FD_temp1,-.0191395549983795
c.indp1#c.indf1#c.FD_temp2,.0008233998194243
c.indp1#c.indf1#c.FD_temp3,-1.50284224762e-07
c.indp1#c.indf1#c.FD_temp4,1.41241407365e-08
c.indp2#c.indf1#c.FD_temp1,.1118850899745853
c.indp2#c.indf1#c.FD_temp2,-.0028325836765676
c.indp2#c.indf1#c.FD_temp3,9.94790008338e-08
c.indp2#c.indf1#c.FD_temp4,1.92064439505e-08
c.indp1#c.indf1#c.FD_precip1,-.9892221364408373
c.indp1#c.indf1#c.FD_precip2,1778.320997782781
c.indp2#c.indf1#c.FD_precip1,-1.630193055616246
c.indp2#c.indf1#c.FD_precip2,10257.80132011682
c.indp1#c.indf1#c.FD_hdd20_TINVtemp1,7.00027276728e-08
c.indp1#c.indf1#c.FD_cdd20_TINVtemp1,8.09663942803e-07
c.indp1#c.indf1#c.FD_hdd20_TINVtemp2,1.57981003977e-09
c.indp1#c.indf1#c.FD_cdd20_TINVtemp2,-1.56812698021e-08
c.indp2#c.indf1#c.FD_hdd20_TINVtemp1,6.53596613225e-07
c.indp2#c.indf1#c.FD_cdd20_TINVtemp1,1.71899108851e-06
c.indp2#c.indf1#c.FD_hdd20_TINVtemp2,1.36929172044e-08
c.indp2#c.indf1#c.FD_cdd20_TINVtemp2,-3.70014383767e-08
c.indp1#c.indf1#c.FD_I1lgdppc_MA15,.6197791174809493
c.indp1#c.indf1#c.FD_I2lgdppc_MA15,5.128271945682341
c.indp2#c.indf1#c.FD_I1lgdppc_MA15,-3.543410978656679
c.indp2#c.indf1#c.FD_I2lgdppc_MA15,10.07391467584551
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,-.0260276230279267
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,.0007366722400838
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,.0879326300865697
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-.0043766299883921
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,.1045982616482832
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,-.0042242512680558
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,.0877994951927139
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-.0038523050534969
c.indp1#c.indf1#c.FD_yeartemp1,9.84061033948e-06
c.indp1#c.indf1#c.FD_yeartemp2,-4.22758486752e-07
c.indp2#c.indf1#c.FD_yeartemp1,-.0000544005000988
c.indp2#c.indf1#c.FD_yeartemp2,1.37910768471e-06
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,.0000130448707203
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,-3.68812645241e-07
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,-.0000443247680227
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp2,2.20622411701e-06
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,-.0000520868552104
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,2.11001964862e-06
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,-.0000446466964486
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp2,1.93787507216e-06
DumIncG1F1P1,40.96620213753734
o.DumIncG2F1P1,0
DumIncG1F1P2,104.7618080258875
o.DumIncG2F1P2,0
_cons,.0811427819452179
