parm_i,parm_j,v
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp1,.0007390181343671
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp2,-.000017866245115
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp1,-8.15269243980e-14
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp2,1.96586214559e-15
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip1,-.004434671923727
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip2,1.252896095967548
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip1,-3.90588804330e-13
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip2,6.74423329414e-10
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_I1lgdppc_MA15,-.0006951449893061
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_I2lgdppc_MA15,.0017579218956242
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_I1lgdppc_MA15,-3.16962238326e-13
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_I2lgdppc_MA15,1.13421570703e-13
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,.0001437382194924
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,-5.26417905537e-06
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,-.0004460371485079
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,.000015077348726
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,-7.41898171032e-15
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,4.97087080915e-16
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,4.70456335880e-14
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-1.95393995910e-15
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_yeartemp1,-3.69815950052e-07
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_yeartemp2,8.94233945610e-09
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_yeartemp1,4.02664700791e-17
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_yeartemp2,-9.91405060352e-19
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,-7.17223723061e-08
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,2.63206414541e-09
