parm,beta
c.indp1#c.indf1#c.FD_temp1,-.004250347982819
c.indp1#c.indf1#c.FD_temp2,.000427126992017
c.indp1#c.indf1#c.FD_temp3,1.41110154447e-07
c.indp1#c.indf1#c.FD_temp4,1.54802021892e-08
c.indp2#c.indf1#c.FD_temp1,.0610244726094645
c.indp2#c.indf1#c.FD_temp2,-.0010865150857713
c.indp2#c.indf1#c.FD_temp3,-1.91419399145e-08
c.indp2#c.indf1#c.FD_temp4,-3.35222297989e-08
c.indp1#c.indf1#c.FD_precip1,-.0000117253659666
c.indp1#c.indf1#c.FD_precip2,-2.86281941537e-08
c.indp2#c.indf1#c.FD_precip1,5.25170514880e-06
c.indp2#c.indf1#c.FD_precip2,-2.72418292754e-07
c.indp1#c.indf1#c.FD_hdd20_TINVtemp1,1.18485913489e-07
c.indp1#c.indf1#c.FD_cdd20_TINVtemp1,1.78612926939e-06
c.indp1#c.indf1#c.FD_hdd20_TINVtemp2,-3.00953089161e-09
c.indp1#c.indf1#c.FD_cdd20_TINVtemp2,-3.09463041063e-08
c.indp2#c.indf1#c.FD_hdd20_TINVtemp1,5.02388671908e-07
c.indp2#c.indf1#c.FD_cdd20_TINVtemp1,-1.84350129017e-06
c.indp2#c.indf1#c.FD_hdd20_TINVtemp2,1.67355589162e-08
c.indp2#c.indf1#c.FD_cdd20_TINVtemp2,4.00014693735e-08
c.indp1#c.indf1#c.FD_I1lgdppc_MA15,1.033270780870319
c.indp1#c.indf1#c.FD_I2lgdppc_MA15,5.428785772964152
c.indp2#c.indf1#c.FD_I1lgdppc_MA15,-3.94313017228568
c.indp2#c.indf1#c.FD_I2lgdppc_MA15,8.048369389830695
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,-.0358739897015127
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,.0010865020082223
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,.0901535597884418
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-.0045807300969692
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,.0345224108045443
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,-.001301497523202
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,.0794040644323463
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-.0036917252773055
c.indp1#c.indf1#c.FD_yeartemp1,2.57891232478e-06
c.indp1#c.indf1#c.FD_yeartemp2,-2.38192911474e-07
c.indp2#c.indf1#c.FD_yeartemp1,-.0000297926102321
c.indp2#c.indf1#c.FD_yeartemp2,5.49344723868e-07
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,.0000180583281892
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,-5.45883194722e-07
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,-.0000454679492656
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp2,2.30906188436e-06
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,-.0000169597775268
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,6.46223447484e-07
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,-.0000401078353703
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp2,1.84927313503e-06
DumIncG1F1P1,39.91316096891075
o.DumIncG2F1P1,0
DumIncG1F1P2,92.18560595009686
o.DumIncG2F1P2,0
_cons,.0544464227601624
