parm_i,parm_j,v
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp1,.001043355385018
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp2,-.000026689984748
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp3,2.51941708617e-09
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp4,4.64991480103e-11
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp1,-3.57249120185e-14
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp2,1.13943248743e-15
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp3,-1.25670321067e-19
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp4,-1.95659200314e-21
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip1,-3.89478035883e-08
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip2,2.94064009892e-10
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip1,-1.17557156111e-19
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip2,-1.01874599510e-21
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_hdd20_TINVtemp1,5.30206507468e-10
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_cdd20_TINVtemp1,4.93969483478e-09
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_hdd20_TINVtemp2,-2.76997648153e-11
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_cdd20_TINVtemp2,-9.07153527013e-11
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_hdd20_TINVtemp1,-2.56373630630e-20
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_cdd20_TINVtemp1,-1.71684159245e-19
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_hdd20_TINVtemp2,1.32776308573e-21
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_cdd20_TINVtemp2,3.37402809053e-21
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_I1lgdppc_MA15,.0036341252261988
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_I2lgdppc_MA15,.0028075981424548
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_I1lgdppc_MA15,-1.06500737121e-13
