parm,beta
c.indp1#c.indf1#c.FD_temp1,-.0321942904241906
c.indp1#c.indf1#c.FD_temp2,.0010401544760585
c.indp2#c.indf1#c.FD_temp1,.061124815941706
c.indp2#c.indf1#c.FD_temp2,-.0015207040377088
c.indp1#c.indf1#c.FD_precip1,4.254719870126569
c.indp1#c.indf1#c.FD_precip2,-7559.803637691699
c.indp2#c.indf1#c.FD_precip1,10.60768993138154
c.indp2#c.indf1#c.FD_precip2,-23398.3525604283
c.indp1#c.indf1#c.FD_I1lgdppc_MA15,.9114619223689675
c.indp1#c.indf1#c.FD_I2lgdppc_MA15,5.511650055829136
c.indp2#c.indf1#c.FD_I1lgdppc_MA15,-3.589324781167817
c.indp2#c.indf1#c.FD_I2lgdppc_MA15,10.7619438412107
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,-.0235887157371312
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,.0006584369916076
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,.0963218156554993
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-.0047986075152924
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,.0513830844408929
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,-.0018116998592733
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,.0748974971447796
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-.0032857166132721
c.indp1#c.indf1#c.FD_yeartemp1,.000016132898705
c.indp1#c.indf1#c.FD_yeartemp2,-5.22359437477e-07
c.indp2#c.indf1#c.FD_yeartemp1,-.000030173079536
c.indp2#c.indf1#c.FD_yeartemp2,7.53163740410e-07
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,.000011863324454
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,-3.31099425226e-07
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,-.0000485199398713
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp2,2.41694346046e-06
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,-.0000253538849298
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,8.99492792055e-07
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,-.0000382737071262
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp2,1.65540643736e-06
DumIncG1F1P1,41.76570066644553
o.DumIncG2F1P1,0
DumIncG1F1P2,110.4628085253626
o.DumIncG2F1P2,0
_cons,.0142072951615188
