parm,beta
c.indp1#c.indf1#c.FD_temp1,-.0165105695420101
c.indp1#c.indf1#c.FD_temp2,.0006539457513673
c.indp2#c.indf1#c.FD_temp1,.0577857185734041
c.indp2#c.indf1#c.FD_temp2,-.0017215251951906
c.indp1#c.indf1#c.FD_precip1,-3.68076152889e-06
c.indp1#c.indf1#c.FD_precip2,2.22624909622e-09
c.indp2#c.indf1#c.FD_precip1,-.000032590362069
c.indp2#c.indf1#c.FD_precip2,4.74918225261e-08
c.indp1#c.indf1#c.FD_I1lgdppc_MA15,.6962729533569828
c.indp1#c.indf1#c.FD_I2lgdppc_MA15,5.264947153196801
c.indp2#c.indf1#c.FD_I1lgdppc_MA15,-2.46788689392736
c.indp2#c.indf1#c.FD_I2lgdppc_MA15,10.52524986368146
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,-.0196519639978115
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,.0005183321142313
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,.0797909186056596
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-.0042692699964739
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,.0576624406726512
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,-.0020715193180368
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,.0561789449168714
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-.0024667301496786
c.indp1#c.indf1#c.FD_yeartemp1,8.23380513588e-06
c.indp1#c.indf1#c.FD_yeartemp2,-3.27487540227e-07
c.indp2#c.indf1#c.FD_yeartemp1,-.0000285037007981
c.indp2#c.indf1#c.FD_yeartemp2,8.53490563171e-07
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,9.86104197010e-06
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,-2.60146624962e-07
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,-.0000401766987079
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp2,2.14941013537e-06
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,-.0000285719946238
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,1.02951474582e-06
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,-.0000289387839189
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp2,1.24719379850e-06
DumIncG1F1P1,41.49973803277635
o.DumIncG2F1P1,0
DumIncG1F1P2,99.98108730049714
o.DumIncG2F1P2,0
_cons,.0651282593207041
