parm_i,parm_j,v
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp1,.0003959784072474
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp2,-8.18026295148e-06
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp1,-9.74956619985e-15
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp2,3.07626010980e-16
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip1,8.25961456599e-09
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_precip2,-1.41785895605e-11
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip1,-3.47465991748e-19
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_precip2,2.45659655924e-22
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_I1lgdppc_MA15,-.0017598946235825
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_I2lgdppc_MA15,.0030968269747188
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_I1lgdppc_MA15,-3.27963738654e-14
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_I2lgdppc_MA15,6.06522241145e-15
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,.0000143427378096
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,-6.00478616539e-07
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,-.0002137933524177
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,6.97146466908e-06
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,-6.54839167377e-15
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,2.66331757579e-16
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,1.32016531917e-14
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-5.22255240728e-16
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_yeartemp1,-1.98408288291e-07
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_yeartemp2,4.09822634537e-09
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_yeartemp1,4.93110924048e-18
c.indp1#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_yeartemp2,-1.56880050852e-19
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,-7.04029739095e-09
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,2.97588793288e-10
