parm,beta
c.indp1#c.indf1#c.FD_temp1,-.015962746
c.indp1#c.indf1#c.FD_temp2,.00077180017
c.indp2#c.indf1#c.FD_temp1,.05668816
c.indp2#c.indf1#c.FD_temp2,-.00168052
c.indp1#c.indf1#c.FD_precip1,1.1076765
c.indp1#c.indf1#c.FD_precip2,-403.97879
c.indp2#c.indf1#c.FD_precip1,-8.914011
c.indp2#c.indf1#c.FD_precip2,11436.512
c.indp1#c.indf1#c.FD_I1lgdppc_MA15,.98435473
c.indp1#c.indf1#c.FD_I2lgdppc_MA15,5.2312536
c.indp2#c.indf1#c.FD_I1lgdppc_MA15,-2.3957691
c.indp2#c.indf1#c.FD_I2lgdppc_MA15,10.403982
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,-.017993279
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,.00049690693
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,.080562122
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-.004369026
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,.055427436
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,-.0019772423
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,.057862103
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-.0025331499
c.indp1#c.indf1#c.FD_yeartemp1,7.9226184e-06
c.indp1#c.indf1#c.FD_yeartemp2,-3.8495483e-07
c.indp2#c.indf1#c.FD_yeartemp1,-.000027975195
c.indp2#c.indf1#c.FD_yeartemp2,8.3312204e-07
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,8.9958257e-06
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,-2.4846412e-07
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,-.000040521409
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp2,2.1978701e-06
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,-.000027462882
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,9.8254520e-07
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,-.00002977128
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp2,1.2802808e-06
DumIncG1F1P1,38.574142
o.DumIncG2F1P1,0
DumIncG1F1P2,98.474251
o.DumIncG2F1P2,0
_cons,.065005429
