parm_norm,parm_old,old_beta,parm_new,new_beta,_merge,diff,rel_diff_pct
DumIncG1F1P1,DumIncG1F1P1,37.78971254297031,DumIncG1F1P1,37.23779571149299,both,-0.551916831477314,-1.46049491868914
DumIncG1F1P2,DumIncG1F1P2,70.37407600484845,DumIncG1F1P2,88.61915545272637,both,18.245079447877927,25.925852932862558
_cons,_cons,-0.0398680341189093,_cons,-0.0266132560914986,both,0.013254778027410704,33.246630591007744
c.indp1#c.indf1#c.FD_I1lgdppc_MA15,c.indp1#c.indf1#c.FD_I1lgdppc_MA15,1.07532462532189,c.indp1#c.indf1#c.FD_I1lgdppc_MA15,1.498740836980438,both,0.42341621165854804,39.37566402627502
c.indp1#c.indf1#c.FD_I2lgdppc_MA15,c.indp1#c.indf1#c.FD_I2lgdppc_MA15,5.239160538991083,c.indp1#c.indf1#c.FD_I2lgdppc_MA15,5.60136035664615,both,0.3621998176550667,6.913317791266163
c.indp1#c.indf1#c.FD_cdd20_TINVtemp1,c.indp1#c.indf1#c.FD_cdd20_TINVtemp1_GMFD,3.57711666674e-07,,,left_only,,
c.indp1#c.indf1#c.FD_cdd20_TINVtemp2,c.indp1#c.indf1#c.FD_cdd20_TINVtemp2_GMFD,-3.12878577824e-09,,,left_only,,
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,0.0323741634496275,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,-0.0258854742380036,both,-0.0582596376876311,-179.95719882702156
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,0.0004948183141827,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,0.0007617842672679,both,0.00026696595308520004,53.95231854466671
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,-3.046736392562917,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,0.1227046280838992,both,3.169441020646816,104.02741203286972
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-0.0014923402249794,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-0.0058425379720768,both,-0.0043501977470974005,-291.5017416459072
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp1,1.70578446739e-08,,,left_only,,
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp2,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp2,-1.25013635125e-10,,,left_only,,
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp1,-7.76311571706e-07,,,left_only,,
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp2,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp2,3.81593644484e-10,,,left_only,,
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,-5.01920104289e-05,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,1.30162565598e-05,both,6.32082669887e-05,125.93292527749671
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,,,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,-3.82782543282e-07,right_only,,
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,0.0030756501797992,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,-6.17709884955e-05,both,-0.0031374211682947,-102.00838797927054
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp2,,,c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp2,2.94084900887e-06,right_only,,
c.indp1#c.indf1#c.FD_hdd20_TINVtemp1,c.indp1#c.indf1#c.FD_hdd20_TINVtemp1_GMFD,3.7143686724e-08,,,left_only,,
c.indp1#c.indf1#c.FD_hdd20_TINVtemp2,c.indp1#c.indf1#c.FD_hdd20_TINVtemp2_GMFD,-3.3795806876e-11,,,left_only,,
c.indp1#c.indf1#c.FD_precip1,c.indp1#c.indf1#c.FD_precip1_GMFD,8.08450527906e-07,c.indp1#c.indf1#c.FD_precip1,-0.3547560938535785,both,-0.3547569023041064,-43881089.820421845
c.indp1#c.indf1#c.FD_precip2,c.indp1#c.indf1#c.FD_precip2_GMFD,-6.75344625793e-08,c.indp1#c.indf1#c.FD_precip2,-396.911435393907,both,-396.91143532637255,-587716878416.4279
c.indp1#c.indf1#c.FD_temp1,c.indp1#c.indf1#c.FD_temp1_GMFD,-0.0144256672145262,c.indp1#c.indf1#c.FD_temp1,-0.0324554630559731,both,-0.0180297958414469,-124.98413815682268
c.indp1#c.indf1#c.FD_temp2,c.indp1#c.indf1#c.FD_temp2_GMFD,0.0005095600370311,c.indp1#c.indf1#c.FD_temp2,0.0011718015231284,both,0.0006622414860973,129.96338762273882
c.indp1#c.indf1#c.FD_year2temp1,c.indp1#c.indf1#c.FD_year2temp1_GMFD,3.71466491606e-09,,,left_only,,
c.indp1#c.indf1#c.FD_year2temp2,c.indp1#c.indf1#c.FD_year2temp2_GMFD,-1.31782080092e-10,,,left_only,,
c.indp1#c.indf1#c.FD_yeartemp1,,,c.indp1#c.indf1#c.FD_yeartemp1,1.6313746464e-05,right_only,,
c.indp1#c.indf1#c.FD_yeartemp2,,,c.indp1#c.indf1#c.FD_yeartemp2,-5.89631107219e-07,right_only,,
c.indp2#c.indf1#c.FD_I1lgdppc_MA15,c.indp2#c.indf1#c.FD_I1lgdppc_MA15,-1.085441881038897,c.indp2#c.indf1#c.FD_I1lgdppc_MA15,-2.437698966524578,both,-1.3522570854856808,-124.58125203271221
c.indp2#c.indf1#c.FD_I2lgdppc_MA15,c.indp2#c.indf1#c.FD_I2lgdppc_MA15,8.067334137908698,c.indp2#c.indf1#c.FD_I2lgdppc_MA15,9.090370435195611,both,1.0230362972869127,12.681218848735021
c.indp2#c.indf1#c.FD_cdd20_TINVtemp1,c.indp2#c.indf1#c.FD_cdd20_TINVtemp1_GMFD,6.61715206392e-07,,,left_only,,
c.indp2#c.indf1#c.FD_cdd20_TINVtemp2,c.indp2#c.indf1#c.FD_cdd20_TINVtemp2_GMFD,-1.55259751615e-08,,,left_only,,
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,-0.6152797610894221,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,0.0129105236831517,both,0.6281902847725738,102.09831762713797
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,-3.55531683178e-05,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,-0.0005005692710059,both,-0.0004650161026881,-1307.9456056671204
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,-1.913901872343941,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,0.0637752998457981,both,1.977677172189739,103.33221367131497
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-0.0007043114878014,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-0.0030168548647756,both,-0.0023125433769742,-328.3409992634232
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp1,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp1,-1.57604906481e-07,,,left_only,,
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp2,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp2,6.766200373130001e-12,,,left_only,,
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp1,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp1,-4.873560112e-07,,,left_only,,
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp2,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp2,1.7923094313e-10,,,left_only,,
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,0.0006230056147703,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,-6.30687910342e-06,both,-0.0006293124938737201,-101.01233102140586
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,,,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp2,2.48988867528e-07,right_only,,
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,0.0019311889743265,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,-3.23723452263e-05,both,-0.0019635613195528,-101.67629090972777
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp2,,,c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp2,1.51156708115e-06,right_only,,
c.indp2#c.indf1#c.FD_hdd20_TINVtemp1,c.indp2#c.indf1#c.FD_hdd20_TINVtemp1_GMFD,1.95980862379e-07,,,left_only,,
c.indp2#c.indf1#c.FD_hdd20_TINVtemp2,c.indp2#c.indf1#c.FD_hdd20_TINVtemp2_GMFD,9.8971562903e-09,,,left_only,,
c.indp2#c.indf1#c.FD_precip1,c.indp2#c.indf1#c.FD_precip1_GMFD,-6.7795405186e-05,c.indp2#c.indf1#c.FD_precip1,-0.639855776535766,both,-0.63978798113058,-943704.0450975852
c.indp2#c.indf1#c.FD_precip2,c.indp2#c.indf1#c.FD_precip2_GMFD,1.16101045522e-07,c.indp2#c.indf1#c.FD_precip2,-1065.958542578822,both,-1065.9585426949232,-918130011579.3829
c.indp2#c.indf1#c.FD_temp1,c.indp2#c.indf1#c.FD_temp1_GMFD,0.0449719709694014,c.indp2#c.indf1#c.FD_temp1,0.066646609590775,both,0.021674638621373594,48.19588324496799
c.indp2#c.indf1#c.FD_temp2,c.indp2#c.indf1#c.FD_temp2_GMFD,-0.0008742049153795,c.indp2#c.indf1#c.FD_temp2,-0.001435705858718,both,-0.0005615009433384999,-64.2299000452025
c.indp2#c.indf1#c.FD_year2temp1,c.indp2#c.indf1#c.FD_year2temp1_GMFD,-1.11228026294e-08,,,left_only,,
c.indp2#c.indf1#c.FD_year2temp2,c.indp2#c.indf1#c.FD_year2temp2_GMFD,2.18953817327e-10,,,left_only,,
c.indp2#c.indf1#c.FD_yeartemp1,,,c.indp2#c.indf1#c.FD_yeartemp1,-3.32571862275e-05,right_only,,
c.indp2#c.indf1#c.FD_yeartemp2,,,c.indp2#c.indf1#c.FD_yeartemp2,7.18158709853e-07,right_only,,
co.indp1#co.indf1#co.FD_dc1_lgdppc_MA15yearI1temp2,co.indp1#co.indf1#co.FD_dc1_lgdppc_MA15yearI1temp2,0.0,,,left_only,,
co.indp1#co.indf1#co.FD_dc1_lgdppc_MA15yearI2temp2,co.indp1#co.indf1#co.FD_dc1_lgdppc_MA15yearI2temp2,0.0,,,left_only,,
co.indp1#co.indf1#co.FD_yeartemp1,co.indp1#co.indf1#co.FD_yeartemp1_GMFD,0.0,,,left_only,,
co.indp1#co.indf1#co.FD_yeartemp2,co.indp1#co.indf1#co.FD_yeartemp2_GMFD,0.0,,,left_only,,
co.indp2#co.indf1#co.FD_dc1_lgdppc_MA15yearI1temp2,co.indp2#co.indf1#co.FD_dc1_lgdppc_MA15yearI1temp2,0.0,,,left_only,,
co.indp2#co.indf1#co.FD_dc1_lgdppc_MA15yearI2temp2,co.indp2#co.indf1#co.FD_dc1_lgdppc_MA15yearI2temp2,0.0,,,left_only,,
co.indp2#co.indf1#co.FD_yeartemp1,co.indp2#co.indf1#co.FD_yeartemp1_GMFD,0.0,,,left_only,,
co.indp2#co.indf1#co.FD_yeartemp2,co.indp2#co.indf1#co.FD_yeartemp2_GMFD,0.0,,,left_only,,
o.DumIncG2F1P1,o.DumIncG2F1P1,0.0,o.DumIncG2F1P1,0.0,both,0.0,
o.DumIncG2F1P2,o.DumIncG2F1P2,0.0,o.DumIncG2F1P2,0.0,both,0.0,
