parm,beta
c.indp1#c.indf1#c.FD_temp1_GMFD,.0000130000263181
c.indp1#c.indf1#c.FD_temp2_GMFD,-1.92553718917e-07
c.indp1#c.indf1#c.FD_temp3_GMFD,3.80290963546e-08
c.indp1#c.indf1#c.FD_temp4_GMFD,-1.13933208256e-09
c.indp2#c.indf1#c.FD_temp1_GMFD,-.0008855027186254
c.indp2#c.indf1#c.FD_temp2_GMFD,6.70716010923e-06
c.indp2#c.indf1#c.FD_temp3_GMFD,1.18743525841e-06
c.indp2#c.indf1#c.FD_temp4_GMFD,-2.47986141252e-08
c.indp1#c.indf1#c.FD_precip1_GMFD,-.0000242772355575
c.indp1#c.indf1#c.FD_precip2_GMFD,1.25900787944e-07
c.indp2#c.indf1#c.FD_precip1_GMFD,-.0001183682632306
c.indp2#c.indf1#c.FD_precip2_GMFD,1.25466650138e-07
_cons,.0523786231643262
