parm,beta
c.indp1#c.indf1#c.FD_temp1_GMFD,-.0144256672145262
c.indp1#c.indf1#c.FD_temp2_GMFD,.0005095600370311
c.indp2#c.indf1#c.FD_temp1_GMFD,.0449719709694014
c.indp2#c.indf1#c.FD_temp2_GMFD,-.0008742049153795
c.indp1#c.indf1#c.FD_precip1_GMFD,8.08450527906e-07
c.indp1#c.indf1#c.FD_precip2_GMFD,-6.75344625793e-08
c.indp2#c.indf1#c.FD_precip1_GMFD,-.000067795405186
c.indp2#c.indf1#c.FD_precip2_GMFD,1.16101045522e-07
c.indp1#c.indf1#c.FD_hdd20_TINVtemp1_GMFD,3.71436867240e-08
c.indp1#c.indf1#c.FD_cdd20_TINVtemp1_GMFD,3.57711666674e-07
c.indp1#c.indf1#c.FD_hdd20_TINVtemp2_GMFD,-3.37958068760e-11
c.indp1#c.indf1#c.FD_cdd20_TINVtemp2_GMFD,-3.12878577824e-09
c.indp2#c.indf1#c.FD_hdd20_TINVtemp1_GMFD,1.95980862379e-07
c.indp2#c.indf1#c.FD_cdd20_TINVtemp1_GMFD,6.61715206392e-07
c.indp2#c.indf1#c.FD_hdd20_TINVtemp2_GMFD,9.89715629030e-09
c.indp2#c.indf1#c.FD_cdd20_TINVtemp2_GMFD,-1.55259751615e-08
c.indp1#c.indf1#c.FD_I1lgdppc_MA15,1.07532462532189
c.indp1#c.indf1#c.FD_I2lgdppc_MA15,5.239160538991083
c.indp2#c.indf1#c.FD_I1lgdppc_MA15,-1.085441881038897
c.indp2#c.indf1#c.FD_I2lgdppc_MA15,8.067334137908698
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,.0323741634496275
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,.0004948183141827
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,-3.046736392562917
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-.0014923402249794
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,-.6152797610894221
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,-.0000355531683178
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,-1.913901872343941
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-.0007043114878014
co.indp1#co.indf1#co.FD_yeartemp1_GMFD,0
co.indp1#co.indf1#co.FD_yeartemp2_GMFD,0
co.indp2#co.indf1#co.FD_yeartemp1_GMFD,0
co.indp2#co.indf1#co.FD_yeartemp2_GMFD,0
c.indp1#c.indf1#c.FD_year2temp1_GMFD,3.71466491606e-09
c.indp1#c.indf1#c.FD_year2temp2_GMFD,-1.31782080092e-10
c.indp2#c.indf1#c.FD_year2temp1_GMFD,-1.11228026294e-08
c.indp2#c.indf1#c.FD_year2temp2_GMFD,2.18953817327e-10
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,-.0000501920104289
co.indp1#co.indf1#co.FD_dc1_lgdppc_MA15yearI1temp2,0
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,.0030756501797992
co.indp1#co.indf1#co.FD_dc1_lgdppc_MA15yearI2temp2,0
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,.0006230056147703
co.indp2#co.indf1#co.FD_dc1_lgdppc_MA15yearI1temp2,0
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,.0019311889743265
co.indp2#co.indf1#co.FD_dc1_lgdppc_MA15yearI2temp2,0
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp1,1.70578446739e-08
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp2,-1.25013635125e-10
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp1,-7.76311571706e-07
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp2,3.81593644484e-10
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp1,-1.57604906481e-07
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp2,6.76620037313e-12
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp1,-4.87356011200e-07
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp2,1.79230943130e-10
DumIncG1F1P1,37.78971254297031
o.DumIncG2F1P1,0
DumIncG1F1P2,70.37407600484845
o.DumIncG2F1P2,0
_cons,-.0398680341189093
