parm,beta
c.indp1#c.indf1#c.FD_temp1_GMFD,-.0001545925782617
c.indp1#c.indf1#c.FD_temp2_GMFD,3.18208655787e-06
c.indp1#c.indf1#c.FD_temp3_GMFD,3.26063286909e-07
c.indp1#c.indf1#c.FD_temp4_GMFD,-7.52678818762e-09
c.indp2#c.indf1#c.FD_temp1_GMFD,-.0012740071101216
c.indp2#c.indf1#c.FD_temp2_GMFD,.0000310188233821
c.indp2#c.indf1#c.FD_temp3_GMFD,1.40793883090e-06
c.indp2#c.indf1#c.FD_temp4_GMFD,-4.01834005757e-08
c.indp1#c.indf1#c.FD_precip1_GMFD,-.0000515177555536
c.indp1#c.indf1#c.FD_precip2_GMFD,-1.90598191471e-07
c.indp2#c.indf1#c.FD_precip1_GMFD,-.0000818233150169
c.indp2#c.indf1#c.FD_precip2_GMFD,-1.01528718262e-06
_cons,.1477907620026521
