parm,beta
c.indp1#c.indf1#c.FD_temp1_GMFD,-.0143454848753962
c.indp1#c.indf1#c.FD_temp2_GMFD,.0005461321504345
c.indp2#c.indf1#c.FD_temp1_GMFD,-.0243943582706043
c.indp2#c.indf1#c.FD_temp2_GMFD,.0009884318019023
c.indp1#c.indf1#c.FD_precip1_GMFD,.0000641808954438
c.indp1#c.indf1#c.FD_precip2_GMFD,-5.01522307714e-07
c.indp2#c.indf1#c.FD_precip1_GMFD,.0000147379646116
c.indp2#c.indf1#c.FD_precip2_GMFD,-2.49782549843e-06
c.indp1#c.indf1#c.FD_hdd20_TINVtemp1_GMFD,1.69797301846e-07
c.indp1#c.indf1#c.FD_cdd20_TINVtemp1_GMFD,2.73897030983e-06
c.indp1#c.indf1#c.FD_hdd20_TINVtemp2_GMFD,1.26336008508e-09
c.indp1#c.indf1#c.FD_cdd20_TINVtemp2_GMFD,-4.07079757093e-08
c.indp2#c.indf1#c.FD_hdd20_TINVtemp1_GMFD,3.53338794007e-07
c.indp2#c.indf1#c.FD_cdd20_TINVtemp1_GMFD,.0000109885537103
c.indp2#c.indf1#c.FD_hdd20_TINVtemp2_GMFD,3.69529172647e-09
c.indp2#c.indf1#c.FD_cdd20_TINVtemp2_GMFD,-1.93792103614e-07
c.indp1#c.indf1#c.FD_I1lgdppc_MA15,.2562910131548138
c.indp1#c.indf1#c.FD_I2lgdppc_MA15,7.247785525544793
c.indp2#c.indf1#c.FD_I1lgdppc_MA15,6.484657346055116
c.indp2#c.indf1#c.FD_I2lgdppc_MA15,17.99096221692933
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,.2270462987048096
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,.0004975427164238
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,-2.943161528821098
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,.0003741633164899
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp1,7.989159555356634
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I1temp2,.0038604659712204
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp1,-11.78586059516042
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15I2temp2,-.0022975970902518
co.indp1#co.indf1#co.FD_yeartemp1_GMFD,0
co.indp1#co.indf1#co.FD_yeartemp2_GMFD,0
co.indp2#co.indf1#co.FD_yeartemp1_GMFD,0
co.indp2#co.indf1#co.FD_yeartemp2_GMFD,0
c.indp1#c.indf1#c.FD_year2temp1_GMFD,3.79637329963e-09
c.indp1#c.indf1#c.FD_year2temp2_GMFD,-1.43545754916e-10
c.indp2#c.indf1#c.FD_year2temp1_GMFD,6.04490049414e-09
c.indp2#c.indf1#c.FD_year2temp2_GMFD,-2.39876776568e-10
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,-.0002468039905183
co.indp1#co.indf1#co.FD_dc1_lgdppc_MA15yearI1temp2,0
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,.0029185484901272
co.indp1#co.indf1#co.FD_dc1_lgdppc_MA15yearI2temp2,0
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI1temp1,-.0081231087120734
co.indp2#co.indf1#co.FD_dc1_lgdppc_MA15yearI1temp2,0
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15yearI2temp1,.0118734178980577
co.indp2#co.indf1#co.FD_dc1_lgdppc_MA15yearI2temp2,0
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp1,6.66942566358e-08
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp2,-1.24500624682e-10
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp1,-7.23669319827e-07
c.indp1#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp2,-8.53850470136e-11
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp1,2.06373587239e-06
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I1temp2,-9.51334475744e-10
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp1,-2.99026618666e-06
c.indp2#c.indf1#c.FD_dc1_lgdppc_MA15year2I2temp2,5.63355156871e-10
DumIncG1F1P1,63.39041425155531
o.DumIncG2F1P1,0
DumIncG1F1P2,88.26826611487471
o.DumIncG2F1P2,0
_cons,-.0425119029577035
