
="",="(1)",="(2)",="(3)",="(4)"
="",="deathrate_w99",="deathrate_w99",="deathrate_w99",="deathrate_w99"

="tavg_poly_1_MERRA2",="-0.0255",="-0.0234",="-0.00582",="-0.0149*"
="",="(0.0195)",="(0.0150)",="(0.0102)",="(0.00824)"

="tavg_poly_2_MERRA2",="0.000171",="-0.000380",="0.000821",="-0.000281"
="",="(0.00131)",="(0.00103)",="(0.00101)",="(0.00114)"

="tavg_poly_3_MERRA2",="-0.0000403",="0.000000348",="-0.0000501",="-0.00000386"
="",="(0.0000946)",="(0.0000798)",="(0.0000711)",="(0.0000856)"

="tavg_poly_4_MERRA2",="0.00000134",="0.000000539",="0.000000662",="0.000000941"
="",="(0.00000180)",="(0.00000155)",="(0.00000127)",="(0.00000177)"

="Constant",="779.1***",="774.9***",="651.2***",="756.2***"
="",="(72.19)",="(63.67)",="(47.58)",="(53.52)"

="Observations",="394779",="394779",="394779",="394779"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
