
="",="(1)",="(2)",="(3)",="(4)"
="",="deathrate_w99",="deathrate_w99",="deathrate_w99",="deathrate_w99"

="Constant",="950.7***",="967.6***",="941.2***",="1009.2***"
="",="(35.72)",="(35.34)",="(35.85)",="(21.17)"

="tavg_poly_1_MERRA2",="-0.0184",="-0.0248**",="-0.0269**",="-0.0281***"
="",="(0.0115)",="(0.0112)",="(0.0116)",="(0.00842)"

="tavg_poly_2_MERRA2",="-0.00108**",="-0.00111**",="-0.000517",="-0.00124***"
="",="(0.000463)",="(0.000462)",="(0.000378)",="(0.000449)"

="tavg_poly_3_MERRA2",="0.0000285",="0.0000481",="0.0000500*",="0.0000285"
="",="(0.0000340)",="(0.0000344)",="(0.0000281)",="(0.0000279)"

="tavg_poly_4_MERRA2",="0.000000395",="-6.42e-08",="-0.000000624",="0.00000159*"
="",="(0.000000805)",="(0.000000819)",="(0.000000650)",="(0.000000818)"

="Observations",="406592",="406592",="406592",="406592"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
