
="",="(1)",="(2)",="(3)",="(4)"
="",="deathrate_w99",="deathrate_w99",="deathrate_w99",="deathrate_w99"

="Constant",="946.8***",="961.6***",="925.1***",="1014.8***"
="",="(31.39)",="(31.15)",="(33.02)",="(18.40)"

="tavg_poly_1_ERA5_025",="-0.0178",="-0.0228*",="-0.0261**",="-0.0310***"
="",="(0.0120)",="(0.0116)",="(0.0117)",="(0.0100)"

="tavg_poly_2_ERA5_025",="-0.00123**",="-0.00124**",="-0.000493",="-0.00114**"
="",="(0.000532)",="(0.000523)",="(0.000421)",="(0.000561)"

="tavg_poly_3_ERA5_025",="0.00000832",="0.0000202",="0.0000599**",="0.0000286"
="",="(0.0000350)",="(0.0000342)",="(0.0000278)",="(0.0000310)"

="tavg_poly_4_ERA5_025",="0.00000168*",="0.00000140",="-0.000000808",="0.00000195**"
="",="(0.00000100)",="(0.00000101)",="(0.000000716)",="(0.000000958)"

="Observations",="406592",="406592",="406592",="406592"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
