
="",="(1)",="(2)",="(3)",="(4)"
="",="deathrate_w99",="deathrate_w99",="deathrate_w99",="deathrate_w99"

="Constant",="699.6***",="689.0***",="631.4***",="575.4***"
="",="(59.75)",="(57.17)",="(35.44)",="(30.00)"

="tavg_poly_1_GMFD",="-0.0363*",="-0.0176",="-0.00274",="-0.00372"
="",="(0.0219)",="(0.0180)",="(0.0144)",="(0.0140)"

="tavg_poly_2_GMFD",="0.00301",="0.00172",="0.00242",="0.00126"
="",="(0.00189)",="(0.00137)",="(0.00163)",="(0.00108)"

="tavg_poly_3_GMFD",="-0.0000954",="-0.0000800",="-0.000142",="-0.0000455"
="",="(0.000101)",="(0.0000777)",="(0.0000932)",="(0.000104)"

="tavg_poly_4_GMFD",="0.00000126",="0.00000140",="0.00000223",="0.000000786"
="",="(0.00000182)",="(0.00000142)",="(0.00000164)",="(0.00000228)"

="Observations",="399414",="398961",="398961",="398961"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
