
="",="(1)",="(2)",="(3)",="(4)"
="",="deathrate_w99",="deathrate_w99",="deathrate_w99",="deathrate_w99"

="Constant",="944.3***",="965.4***",="935.3***",="1003.0***"
="",="(39.49)",="(38.82)",="(38.34)",="(31.95)"

="tavg_poly_1_GMFD",="-0.0227",="-0.0285**",="-0.0186",="-0.0326**"
="",="(0.0145)",="(0.0141)",="(0.0146)",="(0.0143)"

="tavg_poly_2_GMFD",="-0.00188***",="-0.00194***",="-0.00189***",="-0.00114*"
="",="(0.000643)",="(0.000672)",="(0.000597)",="(0.000658)"

="tavg_poly_3_GMFD",="0.000123***",="0.000134***",="0.000120***",="0.000126***"
="",="(0.0000453)",="(0.0000480)",="(0.0000439)",="(0.0000406)"

="tavg_poly_4_GMFD",="-0.00000141",="-0.00000159",="-0.00000152",="-0.00000158"
="",="(0.00000104)",="(0.00000108)",="(0.000000986)",="(0.00000115)"

="Observations",="406643",="406643",="406643",="406643"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
