
="",="(1)",="(2)",="(3)",="(4)"
="",="deathrate_w99",="deathrate_w99",="deathrate_w99",="deathrate_w99"

="Constant",="958.4***",="973.7***",="935.8***",="1012.5***"
="",="(29.19)",="(29.19)",="(32.19)",="(18.52)"

="tavg_poly_1_JRA_3Q",="-0.0211*",="-0.0262**",="-0.0282**",="-0.0341***"
="",="(0.0116)",="(0.0113)",="(0.0115)",="(0.00978)"

="tavg_poly_2_JRA_3Q",="-0.00127***",="-0.00127***",="-0.000461",="-0.00114**"
="",="(0.000486)",="(0.000481)",="(0.000397)",="(0.000515)"

="tavg_poly_3_JRA_3Q",="0.0000295",="0.0000392",="0.0000600**",="0.0000478"
="",="(0.0000320)",="(0.0000318)",="(0.0000271)",="(0.0000296)"

="tavg_poly_4_JRA_3Q",="0.000000936",="0.000000729",="-0.000000889",="0.00000140"
="",="(0.000000860)",="(0.000000869)",="(0.000000674)",="(0.000000921)"

="Observations",="406592",="406592",="406592",="406592"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
