
="",="(1)",="(2)",="(3)",="(4)"
="",="deathrate_w99",="deathrate_w99",="deathrate_w99",="deathrate_w99"

="Constant",="943.2***",="920.0***",="856.7***",="758.0***"
="",="(105.6)",="(103.4)",="(77.15)",="(19.91)"

="tavg_poly_1_GMFD",="-0.0731**",="-0.0638*",="-0.0398",="-0.0139"
="",="(0.0367)",="(0.0342)",="(0.0293)",="(0.00925)"

="tavg_poly_2_GMFD",="0.000497",="0.000156",="0.0000407",="0.0000148"
="",="(0.00136)",="(0.000933)",="(0.000613)",="(0.000441)"

="tavg_poly_3_GMFD",="0.0000958",="0.000103",="0.0000650",="-0.00000265"
="",="(0.000121)",="(0.000113)",="(0.0000949)",="(0.0000322)"

="tavg_poly_4_GMFD",="-0.00000167",="-0.00000187",="-0.00000122",="0.000000773"
="",="(0.00000238)",="(0.00000228)",="(0.00000205)",="(0.000000965)"

="Observations",="411668",="411208",="411208",="411208"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
