
="",="(1)",="(2)",="(3)",="(4)"
="",="deathrate_w99",="deathrate_w99",="deathrate_w99",="deathrate_w99"

="Constant",="649.4***",="754.8***",="728.8***",="616.0***"
="",="(238.7)",="(63.31)",="(53.46)",="(45.55)"

="tavg_poly_1_GMFD",="-0.0122",="-0.00879",="0.0181",="-0.00155"
="",="(0.0677)",="(0.0236)",="(0.0188)",="(0.0175)"

="tavg_poly_2_GMFD",="-0.00214",="-0.000417",="-0.00120**",="-0.000503"
="",="(0.00296)",="(0.000838)",="(0.000591)",="(0.000738)"

="tavg_poly_3_GMFD",="0.000327",="0.0000257",="-0.0000119",="0.0000465"
="",="(0.000286)",="(0.0000683)",="(0.0000552)",="(0.0000673)"

="tavg_poly_4_GMFD",="-0.00000714",="1.23e-08",="0.000000970",="-0.000000910"
="",="(0.00000615)",="(0.00000144)",="(0.00000115)",="(0.00000170)"

="Observations",="100520",="100242",="100242",="100242"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
